epoch	train_loss	train_dice	valid_loss	valid_dice
0	0.971	0.136	0.409	0.462
1	0.924	0.444	0.354	0.566
2	0.736	0.648	0.219	0.868
3	0.439	0.771	0.152	0.800
4	0.283	0.835	0.129	0.856
5	0.245	0.817	0.103	0.793
6	0.192	0.861	0.093	0.883
7	0.164	0.878	0.088	0.914
8	0.161	0.877	0.089	0.875
9	0.176	0.878	0.086	0.913
10	0.138	0.901	0.084	0.914
11	0.124	0.916	0.070	0.924
12	0.123	0.908	0.079	0.914
13	0.105	0.922	0.055	0.947
14	0.098	0.929	0.057	0.931
15	0.095	0.938	0.055	0.947
16	0.103	0.934	0.059	0.915
17	0.100	0.932	0.051	0.946
18	0.092	0.937	0.051	0.950
19	0.099	0.933	0.049	0.939
20	0.086	0.942	0.047	0.950
21	0.080	0.944	0.046	0.955
22	0.086	0.944	0.048	0.952
23	0.075	0.948	0.042	0.959
24	0.076	0.952	0.041	0.960
25	0.078	0.950	0.043	0.953
26	0.067	0.954	0.039	0.962
27	0.066	0.953	0.041	0.959
28	0.068	0.951	0.043	0.958
29	0.073	0.954	0.039	0.957
